id	label
1103024921981145089	1
850396268094521344	0
962331556089159680	0
903682258665660417	0
903752668744732679	0
1099036352358813696	1
900034234630451201	0
28804268519	1
93572796826914816	1
503903738541527041	0
494049129362780161	0
83182937184550913	1
959766288880095234	0
959884728349396998	0
8160719090491393	1
1098688443394207745	1
22283636708	1
850550178843049984	0
494056639628976128	0
900868264103862272	0
940593147532529664	1
903692299758182400	0
1103206342439854080	1
900829392108085248	0
900851682132848641	0
903639588350066688	0
503904697594298368	0
503909128746844160	0
903618746094428160	0
900861308572229632	0
1070049301840187393	0
959818801322881024	0
900363995298750467	0
900835000370831360	0
57854151845089280	1
1102870108920266757	1
903697792681566209	0
941292967939198981	0
900894101327015937	0
1102963016528744448	1
959805449905127425	0
900861791076483076	0
503920580253724672	0
1071034124889153538	1
960606958209372160	0
26723045955	1
900879327528701952	0
850363454678417417	0
904002817140047872	0
1101977734505328640	1
959900061198143494	0
1071002069027512321	1
850371712994729984	0
900835320907911174	0
900840934346305539	0
900858540566470656	0
1006573104733216768	1
941679425896271872	1
494052880710520835	0
900860897803075587	0
900842929622831104	0
900897675217952768	0
850376224396517376	0
941694079531999235	0
850360882353897472	0
904027808120352769	0
900037235138936833	0
850389210704093184	0
903635650209095680	0
1102878390242160642	1
959811083212115968	0
962399627923349504	0
941695515888160775	1
1070438066035146752	1
941359047516868608	1
960043958117298176	0
24484146491424771	1
900405364621017089	0
503882030992474112	0
505081405173280768	0
941752289676742657	0
900828908416880640	0
503930379913293824	0
1102909627077980160	1
900344272892841988	0
900849112567959556	0
903618304652308482	0
903666792102486016	0
494060903487504384	0
900096617155612673	0
494110324526563330	0
900871331700514816	0
850450961319505920	0
959818221540003840	0
959807578799853568	0
903956184356540416	0
900885648734912515	0
959891229352873985	0
960977174475038720	0
900870414133583873	0
960547004760969217	0
494060766958735362	0
900373041145929729	0
900847008356945922	0
850367632213659648	0
903619194389979136	0
80644499092676608	1
903994500149858304	0
903715845741928448	0
505071757699457024	0
959831345731198976	0
900839930993274880	0
503924849124069377	0
900367575845974016	0
503881015543476226	0
900293250224971778	0
962385539205910528	1
104741427354943490	0
900371946839302144	0
503928216336080896	0
900369954972807168	0
850375685495549953	0
900849906755272704	0
900095070640021504	0
900883500399820802	0
903765084668878848	0
900846957643665408	0
1098296235272925186	1
96297150111166465	1
900381132914663429	0
1070310069143855105	1
900895260020264960	0
494073087164289025	0
962597895387209730	1
899858800462635013	0
903811202924638208	0
503951951487180801	1
900893054810378240	0
904026637150420992	0
964692039869673472	1
900358128104951809	0
942144876631805955	1
850362063687909376	0
904050714325987328	0
850409950102917125	1
83677452810981376	1
505063170201772033	0
53362147236921344	1
903759174613565440	0
900843204538490881	1
1006572134141853696	1
850456531237842944	0
941002300193157121	0
961598527754383360	0
1102901954160877569	1
900843636711198720	0
850506326660853760	0
1102779600688492545	1
900880884781506560	0
900878741492170752	0
494026444515733504	0
959898056941449216	0
938652783615533056	1
900834744069476352	0
494036156473176064	0
505079433502666752	0
959890918622064640	0
494085421950074880	0
17274016673	1
850465148183732225	0
903635715564679169	0
1103100640396496896	1
959804243065503749	0
850617349426343936	0
94051705586581504	1
109707994803089408	1
850452015457091584	0
899819435904651266	0
70913815163838465	1
900124368960978944	0
900365857599111168	0
1103091473321480192	1
959817054273622022	0
900885273273405440	0
904043585758224385	0
940675536984125441	1
900880405145960448	0
941768597319204864	0
82526122289537024	1
900870962601754625	0
850396449091317760	0
903813125367091200	0
940678902745251840	1
850422965930008578	0
903684820164902912	0
900830508963201024	0
903683531779518464	0
111821787066675202	1
503889288103071745	0
904000560822669312	0
494076481291575296	0
4473596583870464	1
900845366727380992	0
903906330687234048	0
900852622210498561	0
903909172957167616	0
960467483848306688	0
903727504250343428	0
904036284263317504	0
49874821902909440	1
900878315774500864	0
903626174705885185	0
900387432281112577	0
494064388530511872	0
